,Username,Level,Best MMR Rating,Ranking,Avg Seasonal MMR,Wins,Win_p,Kills,KD,Deaths,Headshots,Losses,Time Played,Matches Played,Melee Kills,Blind Kills,Time Played_casual,Losses_casual,Matches_casual,Deaths_casual,Kills_casual,Win_p_casual,KD_casual,Kills/min_casual,Time Played_ranked,Wins_ranked,Losses_ranked,Matches_ranked,Deaths_ranked,Kills_ranked,Win_p_ranked,KD_ranked,Kills/match_ranked,Kills/min_ranked,Smurf
0,Goku7r0,0.7747252747,0.3247474187,0.5454545455,0.3404019096,0.04074402126,0.2895125554,0.03966276867,0.02032367332,0.04648214362,0.03604943673,0.06233201075,0.0499476074,0.05108956313,0.004695902446,0.07058823529,0.05785123967,0.08444148936,0.06540319584,0.04494972728,0.0502302946,0.519,0.03432432432,0.06100795756,0.03095376282,0.02677973667,0.02960136824,0.02957262783,0.02752213165,0.02765982313,51.6,1.14,4.61,0.22,1
1,skwadoodle.,0.7454212454,0,0,0.338403464,0.08350108704,0.2968980798,0.07188297785,0.01693639443,0.09938888018,0.04746800831,0.1226161526,0.09867272092,0.1033260348,0.0109823525,0.09411764706,0.1037649219,0.1489361702,0.1169329865,0.09173950187,0.06821934475,0.525,0.0227027027,0.0450928382,0.06500290192,0.05958491408,0.06446520195,0.06512337828,0.05977736874,0.05903359435,52.1,1.11,4.45,0.23,0
2,Aze-.,0.7087912088,0,0,0.3177528589,0.06473951204,0.2732644018,0.06543893601,0.01957094467,0.07920340746,0.05230230778,0.1020094714,0.0738735592,0.08278594516,0.004771642808,0.1294117647,0.1276400367,0.1924867021,0.1439365787,0.120851679,0.1271110339,0.502,0.03216216216,0.06896551724,0.02766492552,0.02555233207,0.02749638205,0.0278555075,0.02693779765,0.02525744413,52.3,1.06,4.47,0.23,0
3,Shinchan.-,0.6080586081,0.3173087599,0.4545454545,0.3414011325,0.008374265239,0.3382570162,0.008410195174,0.02013549116,0.01031353723,0.007349885158,0.01279918085,0.01065316102,0.00995725159,0.001363326517,0.01176470588,0.005050505051,0.005651595745,0.006193484454,0.003942958533,0.004953506561,0.66,0.03810810811,0.06896551724,0.009479589863,0.008033921,0.00973556111,0.009285169168,0.008443626377,0.007817471139,49.3,1.06,4.21,0.21,1
4,Beny_D,0.06227106227,0,0,0.313089819,0.09058700378,0.29394387,0.08151815861,0.01543093715,0.1213550051,0.07137700973,0.1342634071,0.1037373385,0.1126576999,0.01280012118,0.1235294118,0.160697888,0.2253989362,0.1775052645,0.1631070513,0.1285304597,0.527,0.02405405405,0.05570291777,0.04662410524,0.04162017407,0.04749375082,0.04668023404,0.05110000877,0.04486605114,50.8,0.99,4.72,0.24,0
5,luckyr6,0.7582417582,0,0,0.3197513045,0.3085594653,0.2422451994,0.2836819567,0.01599548363,0.4106326301,0.2594771957,0.5182388327,0.3761788334,0.4101762069,0.03423464364,0.3823529412,0.4926538108,0.7915558511,0.5603864734,0.4670105803,0.3789867037,0.474,0.02486486486,0.05305039788,0.2010059973,0.1795358179,0.2072095777,0.2024930043,0.2036696176,0.1790356721,50.5,0.99,4.33,0.22,0
6,Kratos.R6P,0.5805860806,0.3367380926,0.7272727273,0.3325191518,0.0367179322,0.3146233383,0.04848472371,0.02352277004,0.04958760096,0.04563053702,0.0526046333,0.043485854,0.04452090502,0.02529728092,0.04117647059,0.04178145087,0.05651595745,0.04645113341,0.04149963856,0.0559369659,0.547,0.04135135135,0.09283819629,0.03134068485,0.03012720375,0.03157479279,0.03243449504,0.03291261285,0.03706156583,52.9,1.27,5.62,0.3,1
7,Shadow_Arsh,0.08241758242,0,0,0.3703785944,0.06683307835,0.3308714919,0.06019929177,0.01825366955,0.07752247183,0.05273980094,0.08985024958,0.07666783095,0.07918882285,0.005150344619,0.06470588235,0.08953168044,0.1243351064,0.0998389694,0.07754485115,0.08252947481,0.536,0.0327027027,0.06366047745,0.04778487135,0.0457487168,0.0427575319,0.04674383109,0.04521284366,0.039450959,55.8,0.99,4.15,0.21,0
8,KingGeorge,0.02197802198,0.5578994116,0.9545454545,0.5741090263,0.8425799179,0.5672082718,0.7379457301,0.02201731276,0.7994558327,0.6825112108,0.5559964162,0.782221446,0.7712960067,0.04127849731,0.6176470588,0.1496786042,0.1373005319,0.2088442958,0.1363277913,0.1979664552,0.755,0.04459459459,0.09283819629,0.7746179145,1,0.4894092883,0.8065377766,0.7290443217,0.8133806018,70.7,1.26,4.94,0.26,0
9,Beaulo.TSM,0.04761904762,0.4959475963,0.9090909091,0.5576773621,0.3819953297,0.4903988183,0.4574652063,0.02333458788,0.4675992536,0.5977469102,0.3212594394,0.3831645127,0.3774893129,0.05195788836,0.3588235294,0.01515151515,0.01230053191,0.02068623808,0.01560754419,0.03244401958,0.778,0.06351351351,0.151193634,0.4155542658,0.5100424012,0.3227206946,0.4467056729,0.4693370731,0.5584557248,65.1,1.34,6.12,0.33,0
