,maxrating,contribution,friendofcount,upvotes,ac_percentage,hashing,bitmasks,ternary_search,flows,string_suffix_structures,fft,meetinthemiddle,intelligence
0,2130,0,76,0E-9,31.00000000,0,b'\x00',0,0,0,0,0,1.308920188
1,1902,0,7,0E-9,88.88888889,0,b'\x00',0,0,0,0,0,1.144993574
2,2111,0,3,0E-9,50.00000000,0,b'\x00',2,0,1,0,4,2.093794410
3,2215,0,187,0E-9,25.00000000,0,b'\x00',0,29,0,0,0,3.310158014
4,2266,7,136,29.333333330,52.00000000,2,b'\x00',0,0,0,0,0,1.285714286
5,2107,0,212,0E-9,45.00000000,0,b'\x00',0,0,0,0,0,2.318537859
6,2041,1,42,45.000000000,52.00000000,5,b'\x00',0,2,0,0,0,3.047619048
7,2564,0,32,0E-9,53.00000000,6,b'\x00',0,0,5,0,1,1.998439938
8,1790,0,3,0E-9,44.44444444,0,b'\x00',0,0,0,0,0,1.762880199
9,1998,0,9,77.000000000,61.90476190,0,b'\x00',0,0,0,0,0,1.093951094
10,2052,0,88,0E-9,25.00000000,0,b'\x00',0,0,0,0,0,1.507723996
11,2001,0,13,0E-9,20.98765432,2,b'\x00',3,0,2,0,0,1.845077461
12,2121,0,9,0E-9,57.00000000,0,b'\x00',0,1,0,2,0,2.412069778
13,2116,0,25,0E-9,48.00000000,2,b'\x00',0,0,0,0,0,1.586011342
14,2102,1,112,30.000000000,37.00000000,2,b'\x00',0,0,0,0,0,1.538461538
15,2326,8,36,0E-9,45.00000000,7,b'\x00',0,0,2,0,0,2.484952709
16,2092,0,20,0E-9,40.00000000,0,b'\x00',0,2,0,7,0,3.294455067
17,2076,0,18,6.000000000,40.00000000,6,b'\x00',0,2,6,0,0,2.557184751
18,2036,0,20,0E-9,28.00000000,0,b'\x00',0,0,0,0,0,2.321839080
19,2208,1,134,53.250000000,56.00000000,2,b'\x00',0,5,0,0,3,2.301806589
20,2102,1,76,87.000000000,38.00000000,1,b'\x00',2,0,1,0,1,2.416710183
21,1997,0,8,0E-9,42.85714286,0,b'\x00',13,0,0,0,0,2.401602404
22,2137,0,32,0E-9,67.00000000,0,b'\x00',0,0,0,0,0,0.894461860
23,2106,0,30,0E-9,36.00000000,1,b'\x00',0,7,0,0,0,2.426835197
24,2126,0,18,0E-9,36.00000000,0,b'\x00',0,0,0,0,2,2.331138288
25,2187,2,377,48.000000000,36.00000000,2,b'\x00',0,0,0,0,0,1.549132948
26,2067,0,15,0E-9,37.33333333,2,b'\x00',0,5,0,0,0,2.792452830
27,2249,0,53,0E-9,48.00000000,1,b'\x00',12,0,0,0,1,2.727954972
28,2084,1,23,26.333333330,37.00000000,1,b'\x00',0,0,0,0,1,2.103646833
